,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
206,13537-29031881200,20.64,"$34,505",0%,"RD060, RD155, RD113, RD061, RD110",100.0%,"$21,925","$13,200","-$1,438"
207,57925-01097006103,23.16,"$21,335",-0%,"RD085, RD082, RD101, RD189, RD187",100.0%,"$15,925","$8,286","-$1,369"
208,41212-18059410800,1.74,"$37,019",2%,"RD063, RD058, RD174, RD062, RD026",95.3%,"$18,494","$9,881",-$794
209,77770-29189213203,55.8,"$39,198",-0%,"RD059, RD176, RD177, RD083, RD155",100.0%,"$18,453","$9,369","-$1,402"
210,58600-01101000100,61.84,"$35,331",-0%,"RD072, RD054, RD050, RD181, RD183",98.1%,"$20,400","$11,308","-$1,372"
211,62488-,3.9,"$23,145",2%,"RD077, RD041, RD127, RD017, RD031",100.0%,"$19,106","$10,397","-$1,546"
212,48826-29095017900,45.15,"$34,838",1%,"RD079, RD038, RD045, RD024, RD025",100.0%,"$22,125","$12,623",-$971
213,16453-39141956000,33.27,"$32,239",-0%,"RD075, RD065, RD123, RD109, RD176",100.0%,"$19,357","$9,878","-$1,710"
214,61705-39089752800,6.33,"$34,724",2%,"RD076, RD075, RD105, RD101, RD092",100.0%,"$21,065","$12,375","-$1,172"
215,26794-18141011601,8.98,"$31,157",0%,"RD089, RD145, RD175, RD099, RD058",100.0%,"$18,065","$9,918",-$844
216,43912-29095011300,68.14,"$22,437",1%,"RD080, RD075, RD081, RD111, RD065",100.0%,"$18,205","$10,082","-$1,518"
217,48691-47189030800,0.64,"$29,828",3%,"RD048, RD029, RD174, RD178, RD148",100.0%,"$26,512","$15,465","-$1,368"
218,68509-17179020302,11.49,"$30,084",-1%,"RD065, RD075, RD001, RD036, RD064",100.0%,"$18,202","$9,927","-$1,119"
219,39241-,0.78,"$24,699",1%,"RD101, RD041, RD074, RD100, RD102",100.0%,"$20,643","$11,958","-$1,487"
220,81739-22017024303,19.96,"$22,437",-1%,"RD112, RD106, RD104, RD098, RD088",100.0%,"$13,646","$6,157","-$1,456"
221,35920-28047003304,79.21,"$29,766",1%,"RD110, RD113, RD059, RD175, RD031",100.0%,"$21,917","$11,120","-$1,558"
222,81739-22017022100,143.83,"$16,583",-1%,"RD108, RD066, RD088, RD130, RD028",100.0%,"$14,268","$6,742","-$1,799"
223,51755-18019050605,16.08,"$28,671",0%,"RD113, RD064, RD058, RD155, RD106",100.0%,"$16,980","$9,252","-$1,047"
224,40213-05051011700,93.77,"$31,083",1%,"RD096, RD072, RD118, RD017, RD162",100.0%,"$27,354","$16,162","-$1,754"
225,80308-05145070800,79.66,"$10,202",-1%,"RD107, RD122, RD018, RD151, RD055",100.0%,"$18,832","$9,973",-$829
226,23824-26163594400,13.9,"$31,828",-0%,"RD105, RD076, RD017, RD065, RD144",100.0%,"$19,348","$10,915","-$1,263"
227,90487-28149950600,8.69,"$29,087",-1%,"RD106, RD104, RD098, RD001, RD138",100.0%,"$18,350","$10,131","-$1,329"
228,77743-29021000702,123.56,"$26,911",-3%,"RD114, RD088, RD130, RD025, RD104",100.0%,"$16,141","$8,143","-$1,084"
229,19234-39049007395,54.48,"$30,643",2%,"RD097, RD025, RD113, RD150, RD079",100.0%,"$23,121","$12,649","-$1,458"
230,05707-26025001300,19.48,"$24,953",-0%,"RD098, RD104, RD106, RD138, RD103",100.0%,"$20,380","$10,746","-$1,636"
231,40780-01089000501,107.12,"$18,411",4%,"RD159, RD141, RD081, RD031, RD131",100.0%,"$18,965","$10,378","-$1,582"
232,42211-28121021001,0.79,"$28,611",-1%,"RD140, RD187, RD190, RD049, RD186",100.0%,"$19,278","$10,710","-$1,195"
233,41590-19103010400,0.03,"$34,139",2%,"RD148, RD186, RD174, RD020, RD062",100.0%,"$24,174","$13,314","-$1,105"
234,95077-20173005400,30.91,"$22,364",1%,"RD128, RD190, RD164, RD098, RD189",100.0%,"$18,875","$9,708","-$1,532"
235,46045-22055001410,3.77,"$32,058",-0%,"RD133, RD045, RD024, RD189, RD174",100.0%,"$22,538","$13,300","-$1,082"
236,36514-22105954300,138.85,"$16,843",2%,"RD171, RD143, RD157, RD161, RD088",100.0%,"$18,696","$8,333","-$2,047"
237,88084-20177000700,17.67,"$21,028",-1%,"RD134, RD090, RD152, RD129, RD101",100.0%,"$22,780","$11,808","-$2,080"
238,26794-18141011602,2.78,"$27,807",0%,"RD175, RD089, RD145, RD058, RD174",94.4%,"$19,288","$10,649",-$804
239,92593-19013003002,0.05,"$38,125",-0%,"RD186, RD046, RD174, RD113, RD148",93.2%,"$22,607","$12,437",-$984
240,95077-20173008000,27.29,"$31,018",1%,"RD127, RD077, RD001, RD064, RD113",100.0%,"$16,994","$9,132",-$996
241,90487-28149950500,11.48,"$21,434",-1%,"RD138, RD106, RD104, RD098, RD130",100.0%,"$19,376","$10,622","-$1,458"
242,95077-20173009503,53.69,"$42,685",1%,"RD135, RD126, RD006, RD008, RD059",100.0%,"$18,515","$10,161","-$1,268"
243,05680-22063040304,11.67,"$25,725",0%,"RD170, RD147, RD184, RD048, RD085",100.0%,"$21,912","$12,815","-$1,502"
244,69697-42129803100,22.13,"$31,222",-1%,"RD150, RD025, RD097, RD047, RD026",100.0%,"$23,610","$13,162","-$1,245"
245,74665-21151010300,27.27,"$22,909",-0%,"RD144, RD017, RD181, RD105, RD076",100.0%,"$20,880","$12,003","-$1,535"
246,58330-22073000500,54.2,"$18,504",-1%,"RD130, RD162, RD138, RD172, RD038",100.0%,"$19,028","$10,388","-$1,123"
247,13321-28089030400,0.34,"$40,588",-1%,"RD137, RD063, RD178, RD004, RD003",100.0%,"$20,204","$11,385","-$1,112"
248,58330-22073000600,101.49,"$12,994",-1%,"RD136, RD066, RD157, RD162, RD179",100.0%,"$17,385","$8,288","-$2,151"
249,77743-29021000701,58.97,"$31,884",-3%,"RD122, RD151, RD055, RD056, RD015",100.0%,"$22,732","$12,123","-$1,191"
250,35920-28047003205,111.77,"$24,395",1%,"RD124, RD098, RD023, RD031, RD017",100.0%,"$21,888","$12,011","-$2,087"
251,43507-20061000400,62.22,"$26,815",-1%,"RD047, RD017, RD155, RD130, RD011",93.2%,"$21,289","$11,560","-$1,264"
252,06058-48245001301,79.68,"$22,992",-1%,"RD088, RD130, RD104, RD106, RD114",93.5%,"$14,458","$7,706","-$1,244"
253,06058-48245011304,0.41,"$30,432",-1%,"RD140, RD061, RD186, RD187, RD049",93.6%,"$21,393","$12,180","-$1,164"
254,06058-48245001302,26.33,"$27,105",-1%,"RD104, RD106, RD113, RD098, RD017",94.1%,"$18,134","$10,034","-$1,081"
255,06058-48245000308,120.19,"$41,623",-1%,"RD130, RD144, RD069, RD067, RD070",89.7%,"$20,416","$11,185","-$1,384"
256,29775-08123002004,8.89,"$24,955",6%,"RD037, RD035, RD030, RD148, RD135",87.7%,"$24,028","$13,757","-$1,495"
257,23824-26125131100,5.22,"$34,119",-0%,"RD147, RD170, RD120, RD014, RD037",90.1%,"$23,776","$13,857","-$1,419"
258,95077-20173005600,18.36,"$26,339",1%,"RD127, RD064, RD189, RD188, RD082",93.0%,"$14,756","$7,720","-$1,109"
259,95077-20173007203,140.2,"$32,220",1%,"RD052, RD070, RD069, RD067, RD093",91.7%,"$19,631","$11,244","-$1,304"
260,95077-20173010109,128.62,"$42,506",1%,"RD142, RD050, RD054, RD043, RD183",90.6%,"$21,131","$11,832",-$852
261,95077-20173008400,177.39,"$27,991",1%,"RD172, RD047, RD069, RD070, RD067",92.6%,"$20,881","$11,038","-$1,786"
262,95077-20173006600,3.26,"$22,425",1%,"RD144, RD044, RD027, RD105, RD017",89.8%,"$19,878","$11,010","-$1,522"
263,95077-20173010113,0.37,"$33,412",1%,"RD005, RD113, RD174, RD053, RD133",93.5%,"$18,580","$10,385",-$928
264,95077-20173010801,158.0,"$28,619",1%,"RD070, RD067, RD069, RD051, RD130",91.2%,"$17,344","$9,008","-$1,294"
265,95077-20173007204,39.93,"$31,647",1%,"RD155, RD113, RD011, RD059, RD015",94.7%,"$20,215","$10,698","-$1,418"
266,95077-20173009200,21.33,"$29,373",1%,"RD017, RD113, RD188, RD104, RD106",92.9%,"$17,885","$10,362",-$975
267,95077-20173009513,242.79,"$32,240",1%,"RD068, RD047, RD059, RD067, RD069",93.9%,"$21,455","$11,447","-$1,523"
268,06058-48245000304,123.8,"$27,437",-1%,"RD103, RD066, RD047, RD068, RD155",91.4%,"$20,583","$11,578","-$1,765"
269,06058-48245000302,47.08,"$53,333",-1%,"RD155, RD113, RD053, RD060, RD091",88.8%,"$21,277","$12,509",-$907
270,06058-48245000102,36.49,"$28,534",-1%,"RD106, RD104, RD098, RD112, RD124",91.7%,"$18,935","$10,243","-$1,663"
271,43912-29047020901,94.95,"$32,827",1%,"RD113, RD084, RD097, RD025, RD023",93.2%,"$22,419","$12,359","-$1,671"
272,43912-20209043700,60.37,"$21,778",1%,"RD113, RD031, RD025, RD001, RD132",94.1%,"$16,642","$9,484","-$1,191"
273,65269-31055000500,64.73,"$30,491",1%,"RD127, RD064, RD101, RD155, RD068",93.9%,"$16,812","$8,487","-$1,353"
274,65269-19155030300,263.18,"$23,595",1%,"RD068, RD069, RD070, RD067, RD172",93.0%,"$19,104","$10,750","-$1,426"
275,65269-31055006503,36.93,"$31,627",1%,"RD037, RD068, RD059, RD152, RD129",89.6%,"$17,213","$8,330","-$1,389"
276,65269-31153010621,76.31,"$32,894",1%,"RD047, RD155, RD142, RD093, RD032",90.6%,"$22,361","$13,013",-$820
277,65269-31055003100,112.21,"$20,100",1%,"RD065, RD080, RD001, RD047, RD113",90.9%,"$17,867","$9,635","-$1,579"
278,16264-17097864205,2.13,"$41,755",-1%,"RD003, RD004, RD058, RD086, RD149",94.0%,"$20,494","$11,544",-$934
279,34300-26081014807,3.72,"$35,506",1%,"RD063, RD186, RD062, RD020, RD058",93.5%,"$20,726","$11,054",-$835
280,02602-26161412100,53.18,"$26,111",-1%,"RD106, RD104, RD001, RD025, RD077",93.1%,"$17,728","$9,796","-$1,267"
281,42157-26075005700,26.02,"$28,529",-1%,"RD189, RD017, RD101, RD091, RD188",92.0%,"$15,899","$8,905",-$898
282,88732-04019003802,225.29,"$15,246",2%,"RD052, RD172, RD068, RD047, RD069",92.9%,"$17,813","$9,471","-$1,362"
283,88732-04019004022,110.39,"$28,990",2%,"RD113, RD047, RD031, RD155, RD025",91.9%,"$18,909","$10,431","-$1,573"
284,88732-04019002506,73.93,"$16,182",2%,"RD007, RD069, RD067, RD070, RD025",90.6%,"$24,129","$13,685","-$1,496"
285,88732-04019004113,98.92,"$2,333",2%,"RD141, RD159, RD114, RD088, RD031",85.9%,"$16,170","$8,882","-$1,210"
286,88732-04019004717,14.45,"$84,694",2%,"RD086, RD053, RD063, RD010, RD169",77.0%,"$19,763","$10,919",-$959
287,88732-04019004632,14.73,"$40,908",2%,"RD010, RD063, RD058, RD074, RD014",90.3%,"$22,647","$12,691","-$1,143"
288,88732-04019004333,20.52,"$26,480",2%,"RD184, RD011, RD115, RD029, RD031",92.9%,"$28,206","$16,680","-$1,647"
289,88732-04019004718,30.35,"$51,313",2%,"RD010, RD063, RD040, RD039, RD169",82.5%,"$23,606","$13,512",-$975
290,88732-04019004054,13.14,"$46,715",2%,"RD063, RD057, RD062, RD186, RD086",90.9%,"$20,013","$11,035",-$867
291,88732-04019004029,171.48,"$22,616",2%,"RD068, RD001, RD047, RD172, RD034",90.2%,"$21,686","$12,314","-$1,832"
292,88732-04019004042,158.64,"$38,654",2%,"RD047, RD155, RD097, RD043, RD007",90.9%,"$23,624","$12,953","-$1,646"
293,88732-04019004046,189.24,"$35,109",2%,"RD093, RD172, RD038, RD068, RD052",89.7%,"$20,702","$11,790","-$1,208"
294,88732-04019003705,120.8,"$15,318",2%,"RD070, RD067, RD069, RD051, RD172",90.2%,"$19,562","$10,936","-$1,352"
295,88732-04019004117,68.1,"$14,352",2%,"RD070, RD067, RD069, RD077, RD093",90.7%,"$22,374","$13,145","-$1,431"
296,88732-04019004636,33.34,"$45,525",2%,"RD086, RD014, RD053, RD063, RD003",92.7%,"$18,264","$10,468",-$785
297,88732-04019004641,7.11,"$45,778",2%,"RD063, RD086, RD053, RD035, RD046",93.1%,"$19,513","$10,745",-$848
298,88732-04019003903,154.3,"$15,406",2%,"RD172, RD068, RD152, RD069, RD070",89.6%,"$19,806","$10,785","-$1,300"
299,88732-04019002505,306.16,"$17,476",2%,"RD051, RD052, RD070, RD067, RD069",89.4%,"$19,141","$10,878","-$1,320"
300,88732-04019004404,60.52,"$32,508",2%,"RD198, RD118, RD096, RD040, RD039",75.2%,"$26,701","$15,601","-$1,301"
301,88732-04019004723,54.93,"$57,020",2%,"RD026, RD063, RD111, RD062, RD010",87.2%,"$21,230","$11,931",-$904
302,88732-04019004647,53.98,"$32,463",2%,"RD001, RD091, RD113, RD127, RD047",90.8%,"$18,893","$10,261","-$1,034"
303,88732-04019004630,29.46,"$39,725",2%,"RD178, RD062, RD063, RD074, RD050",89.7%,"$19,470","$10,475","-$1,123"
304,88732-04019003702,379.56,"$11,616",2%,"RD052, RD051, RD068, RD158, RD172",85.3%,"$17,392","$9,032","-$1,471"
305,88732-04019004635,31.2,"$51,896",2%,"RD086, RD063, RD010, RD020, RD013",91.8%,"$18,914","$10,659",-$872
306,88732-04019004115,120.58,"$13,231",2%,"RD128, RD164, RD073, RD077, RD139",85.6%,"$20,098","$9,784","-$1,890"
307,88732-04019004058,61.82,"$29,504",2%,"RD113, RD029, RD132, RD031, RD128",92.0%,"$21,419","$11,895","-$1,302"
308,88732-04019004048,151.07,"$30,816",2%,"RD038, RD155, RD172, RD068, RD025",92.3%,"$20,698","$11,629","-$1,259"
309,88732-04019004646,32.76,"$36,994",2%,"RD074, RD111, RD127, RD062, RD047",92.7%,"$18,503","$10,269",-$978
310,88732-04019004645,64.82,"$28,375",2%,"RD155, RD047, RD007, RD097, RD025",92.5%,"$24,341","$13,129","-$1,603"
311,88732-04019004044,9.75,"$47,729",2%,"RD083, RD063, RD062, RD020, RD086",92.4%,"$19,518","$10,754","-$1,027"
312,88732-04019004426,78.08,"$30,343",2%,"RD155, RD166, RD165, RD160, RD079",92.5%,"$19,399","$10,939","-$1,278"
313,88732-04019004049,89.01,"$33,011",2%,"RD155, RD172, RD079, RD074, RD041",93.4%,"$22,236","$12,452","-$1,500"
314,88732-04019004069,217.99,"$23,130",2%,"RD034, RD033, RD139, RD172, RD047",91.3%,"$19,779","$10,656","-$2,130"
315,88732-04019004644,14.28,"$27,796",2%,"RD113, RD029, RD058, RD063, RD074",93.5%,"$22,190","$12,718","-$1,086"
316,88732-04019004713,6.51,"$66,678",2%,"RD063, RD053, RD010, RD086, RD020",89.5%,"$19,442","$10,305",-$837
317,88732-04019004624,116.09,"$29,749",2%,"RD097, RD033, RD034, RD058, RD113",90.1%,"$21,019","$11,202","-$1,435"
318,88732-04019003902,121.01,"$18,919",2%,"RD068, RD172, RD103, RD069, RD067",90.1%,"$23,875","$13,417","-$1,874"
319,88732-04019004411,27.22,"$38,048",2%,"RD144, RD074, RD155, RD062, RD071",88.7%,"$21,803","$11,969","-$1,087"
320,88732-04019004711,13.26,"$65,237",2%,"RD063, RD010, RD020, RD053, RD012",81.7%,"$20,790","$11,509","-$1,098"
321,88732-04019004063,11.19,"$34,200",2%,"RD063, RD137, RD004, RD003, RD046",92.5%,"$17,547","$8,881",-$922
322,88732-04019004051,3.69,"$56,574",2%,"RD063, RD020, RD086, RD053, RD035",88.2%,"$18,787","$10,891",-$960
323,88732-04019004631,54.08,"$33,234",2%,"RD047, RD091, RD058, RD113, RD043",93.0%,"$22,474","$13,053","-$1,314"
324,88732-04019004407,152.85,"$16,299",2%,"RD139, RD028, RD093, RD124, RD007",90.9%,"$19,718","$10,788","-$2,074"
325,88732-04019004312,88.34,"$26,005",2%,"RD101, RD059, RD172, RD068, RD070",88.5%,"$21,355","$12,125","-$1,557"
326,88732-04019004050,11.41,"$45,048",2%,"RD135, RD126, RD013, RD006, RD037",89.8%,"$18,688","$10,452","-$1,249"
327,88732-04019004053,9.14,"$40,623",2%,"RD006, RD086, RD037, RD063, RD013",91.7%,"$19,234","$11,229","-$1,131"
328,88732-04019004125,11.73,"$32,374",2%,"RD049, RD163, RD140, RD190, RD010",87.4%,"$18,710","$10,357",-$926
329,88732-04019004074,9.94,"$33,042",2%,"RD111, RD058, RD140, RD071, RD057",92.4%,"$18,868","$10,832","-$1,312"
330,88732-04019004427,23.21,"$37,941",2%,"RD062, RD063, RD113, RD083, RD174",93.6%,"$20,676","$11,148",-$950
331,88732-04019004412,14.64,"$32,621",2%,"RD010, RD074, RD155, RD062, RD113",90.6%,"$21,079","$11,525",-$912
332,88732-04019004621,40.84,"$35,667",2%,"RD063, RD010, RD155, RD031, RD183",89.4%,"$28,660","$17,651","-$1,217"
333,88732-04019004320,43.9,"$17,426",2%,"RD082, RD119, RD117, RD128, RD140",85.1%,"$26,035","$15,232","-$1,747"
334,88732-04019004321,148.23,"$18,279",2%,"RD047, RD172, RD068, RD097, RD069",90.9%,"$20,641","$11,499","-$1,444"
335,88732-04019004334,11.25,"$23,301",2%,"RD184, RD004, RD003, RD011, RD029",93.6%,"$24,338","$14,292","-$1,374"
336,88732-04019002503,190.0,"$17,448",2%,"RD164, RD156, RD064, RD098, RD172",85.8%,"$20,793","$10,569","-$1,849"
337,88732-04019004073,5.68,"$28,488",2%,"RD057, RD063, RD113, RD186, RD058",95.1%,"$22,527","$12,592","-$1,176"
338,88732-04019004025,31.71,"$51,025",2%,"RD086, RD126, RD135, RD063, RD020",88.8%,"$19,222","$11,156","-$1,221"
339,88732-04019004057,116.57,"$37,318",2%,"RD047, RD127, RD001, RD155, RD017",92.7%,"$17,661","$9,696","-$1,124"
340,88732-04019004311,25.99,"$27,386",2%,"RD029, RD184, RD127, RD037, RD113",92.6%,"$17,045","$9,888","-$1,434"
341,88732-04019004122,152.51,"$15,588",2%,"RD139, RD034, RD033, RD124, RD007",90.6%,"$17,932","$8,320","-$2,260"
342,88732-04019004643,4.85,"$45,972",2%,"RD118, RD010, RD039, RD040, RD046",89.6%,"$24,198","$14,246",-$967
343,88732-04019004633,11.92,"$36,283",2%,"RD010, RD062, RD063, RD026, RD113",92.8%,"$21,794","$12,458",-$840
344,88732-04019004026,10.89,"$41,009",2%,"RD063, RD057, RD071, RD058, RD010",92.3%,"$20,519","$12,097",-$999
345,88732-04019004719,9.11,"$71,289",2%,"RD046, RD063, RD169, RD010, RD086",79.7%,"$24,559","$14,287",-$812
346,88732-04019004619,11.28,"$46,690",2%,"RD010, RD063, RD060, RD074, RD178",90.0%,"$26,231","$15,903","-$1,231"
347,88732-04019004043,107.25,"$38,842",2%,"RD047, RD097, RD155, RD058, RD113",91.6%,"$20,388","$10,700","-$1,148"
348,88732-04019004623,57.27,"$39,966",2%,"RD113, RD058, RD063, RD155, RD084",93.6%,"$21,731","$12,487","-$1,256"
349,88732-04019004035,157.84,"$27,046",2%,"RD033, RD034, RD128, RD047, RD164",87.1%,"$24,403","$13,292","-$1,932"
350,88732-04019004418,1.82,"$43,841",2%,"RD063, RD020, RD083, RD062, RD086",93.9%,"$19,643","$10,492",-$909
351,88732-04019004118,12.63,"$20,571",2%,"RD188, RD084, RD133, RD113, RD011",93.1%,"$21,885","$12,273","-$1,523"
352,88732-04019004642,7.63,"$58,946",2%,"RD086, RD046, RD053, RD083, RD020",88.9%,"$20,064","$11,480","-$1,011"
353,88732-04019004112,140.49,"$17,804",2%,"RD068, RD172, RD025, RD067, RD069",92.0%,"$21,933","$12,719","-$1,488"
354,88732-04019003600,4.71,"$19,193",2%,"RD183, RD182, RD131, RD181, RD054",89.8%,"$17,029","$9,120","-$1,263"
355,88732-04019004322,91.9,"$21,423",2%,"RD166, RD160, RD165, RD030, RD155",91.0%,"$21,439","$12,011","-$1,360"
356,88732-04019004714,17.7,"$75,336",2%,"RD086, RD063, RD020, RD012, RD053",81.8%,"$21,323","$12,543",-$951
357,88732-04019004121,4.0,"$21,815",2%,"RD188, RD113, RD133, RD030, RD155",92.1%,"$19,432","$11,076","-$1,215"
358,88732-04019004640,3.49,"$48,752",2%,"RD046, RD116, RD121, RD010, RD086",87.5%,"$34,208","$21,574","-$1,112"
359,88732-04019004720,17.29,"$65,493",2%,"RD118, RD063, RD053, RD020, RD010",83.9%,"$24,287","$14,678","-$1,061"
360,88732-04019004047,49.28,"$38,102",2%,"RD155, RD059, RD047, RD011, RD083",92.8%,"$22,918","$12,729","-$1,576"
361,88732-04019004429,20.31,"$38,359",2%,"RD063, RD074, RD062, RD058, RD026",91.0%,"$19,161","$10,456",-$911
362,88732-04019004055,10.86,"$44,262",2%,"RD086, RD074, RD062, RD083, RD063",90.6%,"$20,515","$11,414",-$965
363,88732-04019941000,43.9,"$17,426",2%,"RD082, RD128, RD119, RD117, RD140",85.1%,"$26,035","$15,232","-$1,747"
364,88732-04019004413,44.9,"$34,630",2%,"RD155, RD059, RD091, RD113, RD002",92.8%,"$20,642","$11,094","-$1,373"
365,88732-04019004722,11.76,"$63,699",2%,"RD010, RD053, RD046, RD086, RD063",82.1%,"$24,594","$14,366","-$1,007"
366,88732-04019004421,7.02,"$26,985",2%,"RD049, RD184, RD082, RD115, RD148",88.4%,"$22,227","$12,377","-$1,071"
367,88732-04021000603,5.35,"$45,701",4%,"RD046, RD035, RD086, RD121, RD116",87.4%,"$28,210","$16,763","-$1,182"
368,88732-04019004415,20.08,"$29,481",2%,"RD062, RD186, RD113, RD111, RD148",91.3%,"$23,641","$12,641","-$1,166"
369,88732-04019004715,25.26,"$27,240",2%,"RD148, RD029, RD119, RD117, RD022",88.6%,"$26,572","$16,897",-$976
370,22366-19163012602,38.76,"$25,808",-1%,"RD025, RD113, RD148, RD155, RD002",92.4%,"$18,002","$9,978","-$1,008"
371,22366-19163012702,99.1,"$34,621",-1%,"RD155, RD001, RD015, RD016, RD172",90.7%,"$23,936","$12,838","-$1,697"
372,22366-19163012801,51.42,"$24,978",-1%,"RD025, RD106, RD104, RD183, RD182",93.5%,"$18,976","$10,591",-$974
373,22366-17161024000,2.43,"$37,478",-1%,"RD113, RD002, RD155, RD091, RD001",93.6%,"$14,869","$7,080","-$1,060"
374,22366-19163012000,125.52,"$34,407",-1%,"RD068, RD059, RD067, RD070, RD069",95.9%,"$18,753","$10,179","-$1,346"
375,22366-19163012502,27.47,"$28,791",-1%,"RD155, RD025, RD106, RD104, RD113",94.6%,"$17,562","$9,041","-$1,212"
376,22366-17073030100,2.84,"$30,261",-1%,"RD002, RD129, RD059, RD091, RD127",92.3%,"$15,137","$7,095","-$1,072"
377,22366-19163012400,3.76,"$38,262",-1%,"RD002, RD129, RD152, RD134, RD083",84.3%,"$20,606","$11,238","-$1,247"
378,22366-19163011000,120.67,"$18,775",-1%,"RD158, RD103, RD025, RD179, RD123",90.6%,"$22,173","$11,727","-$1,667"
379,22366-17161020400,0.7,"$26,561",-1%,"RD189, RD120, RD169, RD038, RD017",91.3%,"$24,329","$13,924",-$885
380,22366-17161024300,1.51,"$32,121",-1%,"RD017, RD104, RD106, RD188, RD103",92.1%,"$17,102","$9,255","-$1,408"
381,22366-19163010102,1.61,"$57,266",-1%,"RD053, RD063, RD020, RD086, RD012",91.8%,"$21,378","$11,930","-$1,006"
382,22366-19163012601,38.76,"$25,808",-1%,"RD025, RD113, RD148, RD155, RD002",92.4%,"$18,002","$9,978","-$1,008"
383,22366-19163012100,162.08,"$27,750",-1%,"RD069, RD067, RD070, RD068, RD093",92.1%,"$20,190","$11,170","-$1,484"
384,22366-17161023700,82.35,"$20,267",-1%,"RD069, RD067, RD070, RD068, RD025",93.8%,"$20,840","$11,896","-$1,309"
385,22366-17161020200,1.09,"$27,730",-1%,"RD025, RD017, RD104, RD106, RD001",94.1%,"$17,436","$9,530",-$977
386,22366-19163012501,22.66,"$24,865",-1%,"RD025, RD129, RD002, RD152, RD179",91.5%,"$19,269","$9,785","-$1,332"
387,22366-19163011100,181.21,"$26,925",-1%,"RD068, RD069, RD070, RD067, RD051",94.8%,"$20,266","$11,043","-$1,253"
388,22366-17161022600,98.46,"$18,240",-1%,"RD158, RD162, RD130, RD067, RD069",89.8%,"$17,191","$8,750","-$1,261"
389,22366-17161021100,9.72,"$38,550",-1%,"RD071, RD043, RD058, RD178, RD186",92.9%,"$20,185","$10,873",-$998
390,22366-17161020300,24.05,"$25,589",-1%,"RD067, RD070, RD069, RD017, RD038",92.7%,"$20,768","$11,855",-$963
391,22366-19163012902,39.31,"$39,692",-1%,"RD155, RD038, RD016, RD015, RD185",92.4%,"$25,299","$14,049","-$1,224"
392,22366-17161024200,6.84,"$30,880",-1%,"RD001, RD127, RD077, RD106, RD104",94.4%,"$15,415","$8,011","-$1,002"
393,22366-19163012901,23.87,"$37,276",-1%,"RD071, RD178, RD186, RD063, RD043",89.6%,"$17,342","$9,341","-$1,162"
394,22366-19163013702,5.28,"$49,435",-1%,"RD053, RD063, RD169, RD058, RD020",92.4%,"$21,114","$11,590",-$853
395,22366-19163012701,132.06,"$31,377",-1%,"RD001, RD047, RD068, RD177, RD176",92.7%,"$17,291","$8,676","-$1,429"
396,22366-19163013706,8.05,"$53,306",-1%,"RD053, RD012, RD063, RD020, RD137",91.4%,"$20,906","$11,653","-$1,199"
397,93322-42055012000,0.37,"$28,012",0%,"RD186, RD178, RD113, RD140, RD190",92.0%,"$21,080","$12,061","-$1,373"
